Date,Open,Close,High,Low,Volume
2022-01-17,575.0,571.75,579.05,564.02,48327.0
2022-01-18,575.0,572.57,579.05,567.28,60928.0
2022-01-19,583.41,567.69,583.41,562.0,29278.0
2022-01-20,568.91,573.37,577.03,559.6,37239.0
2022-01-23,581.09,572.96,586.78,572.68,72785.0
2022-01-24,575.0,558.75,575.0,554.69,66929.0
2022-01-25,568.91,565.65,577.03,560.73,202758.0
2022-01-26,576.37,547.06,586.68,546.56,44829.0
2022-01-27,548.59,540.96,550.11,537.51,16217.0
2022-01-30,551.18,558.75,571.95,550.11,22771.0
2022-01-31,562.29,546.05,562.29,545.03,14706.0
2022-02-01,544.02,549.1,550.11,541.48,14836.0
2022-02-03,549.61,537.42,552.15,536.4,21071.0
2022-02-06,547.57,533.87,557.73,532.85,19045.0
2022-02-07,530.3,537.92,546.56,529.8,17585.0
2022-02-08,548.09,530.3,556.66,530.3,20070.0
2022-02-09,538.94,522.69,538.94,518.62,25153.0
2022-02-10,523.76,519.14,525.74,516.09,7512.0
2022-02-13,519.14,486.63,519.14,480.59,39421.0
2022-02-14,477.49,486.63,495.77,477.49,14284.0
2022-02-15,495.68,496.79,497.35,486.63,14062.0
2022-02-16,505.43,492.21,505.43,490.19,7003.0
2022-02-17,492.21,492.21,492.21,486.12,9175.0
2022-02-20,483.07,480.54,485.62,475.46,11723.0
2022-02-21,485.62,482.57,485.62,476.98,6564.0
2022-02-22,485.62,485.11,487.18,482.67,9270.0
2022-02-23,485.11,478.0,490.19,476.48,10971.0
2022-02-24,470.53,468.35,476.98,465.3,16555.0
2022-02-27,465.3,462.31,469.11,460.22,14291.0
2022-02-28,467.85,453.62,470.95,452.61,14011.0
2022-03-02,452.61,439.9,452.61,432.81,16431.0
2022-03-06,442.45,435.08,450.07,433.56,9120.0
2022-03-07,436.36,432.29,442.96,426.71,12399.0
2022-03-09,439.9,425.69,439.9,424.67,8131.0
2022-03-10,424.73,437.37,437.37,422.14,13819.0
2022-03-13,445.55,478.24,478.24,445.55,58683.0
2022-03-14,487.14,490.7,495.77,479.28,21698.0
2022-03-15,493.24,490.7,498.81,475.46,23608.0
2022-03-16,495.77,490.7,498.81,486.63,23367.0
2022-03-20,493.24,481.55,494.25,480.64,8305.0
2022-03-21,485.62,487.65,487.65,478.0,10195.0
2022-03-22,488.67,489.17,494.76,487.65,9576.0
2022-03-23,489.17,488.15,493.24,485.62,8411.0
2022-03-24,486.63,501.87,505.43,485.62,29122.0
2022-03-27,511.01,500.34,540.31,498.36,60312.0
2022-03-28,494.81,488.67,500.86,485.62,11152.0
2022-03-29,481.04,473.43,490.7,472.92,16993.0
2022-03-30,466.37,479.02,480.49,466.37,19017.0
2022-03-31,479.02,470.89,482.06,470.38,12414.0
2022-04-03,470.89,459.21,470.95,456.16,15432.0
2022-04-04,462.76,454.28,462.76,453.12,12514.0
2022-04-05,448.04,442.45,448.04,438.39,18979.0
2022-04-06,437.37,438.9,447.48,429.76,37433.0
2022-04-07,444.48,444.48,458.71,437.47,15375.0
2022-04-11,450.07,431.33,450.07,430.82,20464.0
2022-04-12,438.9,427.72,438.9,424.67,18499.0
2022-04-13,428.23,432.29,434.77,425.69,9986.0
2022-04-17,433.31,427.82,437.88,427.22,7721.0
2022-04-18,426.2,425.69,434.82,424.67,18278.0
2022-04-19,425.69,433.81,435.86,425.69,5787.0
2022-04-20,432.29,427.68,437.37,427.22,9152.0
