Date,Open,Close,High,Low,Volume,company
2022-01-17,197.08,194.08,197.08,192.0,162598.0,
2022-01-18,194.0,189.64,195.2,187.2,204240.0,
2022-01-19,190.8,187.6,192.0,186.0,144065.0,
2022-01-20,187.6,192.6,192.8,185.08,139968.0,
2022-01-23,195.2,192.0,196.0,190.0,150700.0,
2022-01-24,190.0,185.6,190.0,184.8,228358.0,
2022-01-25,185.56,185.2,188.4,183.2,100632.0,
2022-01-26,187.2,182.76,187.2,181.2,127391.0,
2022-01-27,182.0,182.8,185.2,182.0,77668.0,
2022-01-30,185.2,191.6,192.0,185.2,181534.0,
2022-01-31,194.0,188.04,194.0,188.0,95182.0,
2022-02-01,188.0,192.0,193.8,187.2,170026.0,
2022-02-03,189.36,190.8,198.0,189.36,273319.0,
2022-02-06,190.8,188.4,190.8,186.8,105809.0,
2022-02-07,187.2,189.2,192.0,186.8,85951.0,
2022-02-08,191.6,188.0,196.88,187.6,168317.0,
2022-02-09,188.0,187.28,188.8,186.0,58215.0,
2022-02-10,188.0,186.6,189.2,184.8,54866.0,
2022-02-13,186.6,180.4,186.6,179.6,145952.0,
2022-02-14,180.0,181.6,184.76,179.2,83109.0,
2022-02-15,183.96,186.4,188.0,181.2,66135.0,
2022-02-16,188.0,183.2,188.8,182.4,60584.0,
2022-02-17,184.4,182.8,184.8,182.04,40354.0,
2022-02-20,180.36,182.4,185.2,178.0,101260.0,
2022-02-21,183.2,184.0,185.2,182.4,37422.0,
2022-02-22,186.48,184.8,186.8,184.44,69622.0,
2022-02-23,185.2,189.56,194.0,185.2,207908.0,
2022-02-24,192.0,185.2,192.0,184.4,132537.0,
2022-02-27,185.2,186.0,188.8,183.24,83539.0,
2022-02-28,188.4,182.8,192.0,182.36,107485.0,
2022-03-02,185.24,178.96,185.24,178.0,119075.0,
2022-03-06,178.96,177.64,183.72,177.64,76236.0,
2022-03-07,178.0,175.52,180.0,175.24,66705.0,
2022-03-09,177.56,171.4,177.56,170.48,60791.0,
2022-03-10,173.6,178.0,178.2,168.0,95856.0,
2022-03-13,180.0,183.16,184.44,179.2,83804.0,
2022-03-14,185.6,182.0,185.6,180.4,18191.0,
2022-03-15,182.0,179.8,183.2,178.84,66017.0,
2022-03-16,180.0,178.8,182.0,178.4,44702.0,
2022-03-20,180.8,177.6,180.8,177.2,30649.0,
2022-03-21,177.6,180.0,182.4,176.8,55854.0,
2022-03-22,182.36,179.2,184.0,178.8,40978.0,
2022-03-23,180.0,179.2,181.2,178.4,31571.0,
2022-03-24,180.0,177.6,180.0,176.4,50566.0,
2022-03-27,177.6,174.16,179.6,173.2,65804.0,
2022-03-28,172.12,171.6,175.84,171.6,44344.0,
2022-03-29,172.0,171.56,174.8,170.0,26200.0,
2022-03-30,172.8,176.0,176.0,170.8,51479.0,
2022-03-31,177.16,172.4,177.2,172.0,40331.0,
2022-04-03,174.0,170.12,174.0,170.12,29137.0,
2022-04-04,170.4,169.6,172.0,169.2,28207.0,
2022-04-05,171.6,167.2,171.6,164.0,64019.0,
2022-04-06,167.2,165.0,169.2,163.6,32959.0,
2022-04-07,166.0,166.4,168.0,163.88,53768.0,
2022-04-11,168.4,164.4,170.56,163.6,38057.0,
2022-04-12,164.4,159.24,164.4,158.8,35588.0,
2022-04-13,161.16,160.4,162.8,156.0,37228.0,
2022-04-17,161.6,157.2,161.6,157.2,24456.0,
2022-04-18,156.0,154.4,158.12,153.2,32927.0,
2022-04-19,154.4,154.0,158.0,150.0,39951.0,
2022-04-20,154.0,149.2,154.8,149.2,38859.0,
2022-04-21,150.84,149.56,150.92,145.76,40304.0,
2022-04-24,151.32,158.48,158.48,150.4,58768.0,
2022-04-25,160.0,158.04,164.0,156.04,50641.0,
2022-04-26,159.6,157.6,161.2,155.8,17272.0,
2022-04-27,156.04,156.8,158.0,154.4,48243.0,
2022-04-28,158.72,155.6,159.2,155.2,36966.0,
2022-05-02,155.6,152.8,156.4,151.16,56829.0,
2022-05-04,152.8,149.2,154.4,148.8,29708.0,
2022-05-05,150.4,146.8,151.16,145.12,47647.0,
2022-05-08,147.6,152.12,154.0,143.6,44947.0,
2022-05-09,153.96,150.8,154.8,150.4,48867.0,
2022-05-10,150.84,155.04,155.6,149.6,48259.0,
2022-05-11,156.0,161.64,163.2,154.8,74193.0,
2022-05-12,163.64,158.44,166.4,158.0,73942.0,
2022-05-17,157.2,152.8,157.2,152.32,39715.0,
