Date,Open,Close,High,Low,Volume
2022-01-17,495.87,498.17,505.05,487.45,50062.0
2022-01-18,497.4,493.57,507.35,486.69,39260.0
2022-01-19,485.92,478.26,497.4,475.36,39319.0
2022-01-20,470.69,484.01,486.69,470.69,44219.0
2022-01-23,489.74,477.5,497.4,477.5,28508.0
2022-01-24,482.09,456.07,485.16,447.66,61455.0
2022-01-25,451.49,446.89,462.2,446.89,45434.0
2022-01-26,446.89,440.24,456.84,436.18,37192.0
2022-01-27,447.66,443.07,453.78,434.26,19650.0
2022-01-30,451.49,474.44,474.44,451.49,54130.0
2022-01-31,483.63,478.96,483.63,467.02,40002.0
2022-02-01,479.03,505.05,508.8,470.61,99983.0
2022-02-03,515.15,535.66,555.55,515.15,243194.0
2022-02-06,534.13,550.97,561.68,520.36,169085.0
2022-02-07,561.98,536.42,561.98,535.66,101453.0
2022-02-08,546.37,527.24,561.68,521.96,81890.0
2022-02-09,528.01,527.24,535.66,517.3,50041.0
2022-02-10,527.24,515.31,530.31,513.47,51427.0
2022-02-13,505.05,482.09,505.82,478.26,95498.0
2022-02-14,481.33,489.51,495.87,481.33,37280.0
2022-02-15,485.92,516.53,518.83,485.92,31341.0
2022-02-16,516.53,505.05,523.41,498.17,39735.0
2022-02-17,495.94,505.05,516.53,495.94,29969.0
2022-02-20,495.87,497.55,521.12,478.26,69901.0
2022-02-21,488.21,528.01,531.83,488.21,88463.0
2022-02-22,538.57,529.54,547.14,528.01,103869.0
2022-02-23,528.01,524.95,535.66,521.12,37756.0
2022-02-24,515.0,509.03,528.01,505.05,66226.0
2022-02-27,515.76,513.47,524.18,498.85,44118.0
2022-02-28,523.41,489.9,531.07,489.83,64135.0
2022-03-02,497.4,478.26,497.4,474.44,58139.0
2022-03-06,468.7,470.61,485.16,461.43,42341.0
2022-03-07,479.8,466.79,479.8,465.26,22758.0
2022-03-09,466.79,455.31,472.15,455.31,30491.0
2022-03-10,454.55,480.56,482.09,452.25,36156.0
2022-03-13,489.67,495.87,497.4,478.26,37429.0
2022-03-14,497.4,487.6,497.4,484.01,12016.0
2022-03-15,487.45,480.02,491.27,479.03,29790.0
2022-03-16,480.02,470.61,488.21,470.61,34061.0
2022-03-20,474.44,466.79,478.26,465.26,23212.0
2022-03-21,459.14,485.16,490.51,459.14,33593.0
2022-03-22,475.59,493.57,501.99,475.59,51779.0
2022-03-23,483.7,488.21,491.27,483.7,15415.0
2022-03-24,479.8,479.8,489.74,479.41,18812.0
2022-03-27,470.69,465.49,481.33,465.26,31294.0
2022-03-28,464.5,466.79,474.44,459.29,29475.0
2022-03-29,466.79,465.34,473.68,459.21,17194.0
2022-03-30,462.97,474.44,477.5,462.97,15281.0
2022-03-31,474.44,466.87,483.63,466.87,18745.0
2022-04-03,460.67,466.79,470.61,460.67,13321.0
2022-04-04,460.67,462.2,469.08,460.67,18906.0
2022-04-05,454.55,453.86,460.67,449.26,35236.0
2022-04-06,454.55,453.86,462.88,446.12,13404.0
2022-04-07,446.12,455.31,466.79,446.12,30004.0
2022-04-11,464.41,447.66,470.61,447.66,30470.0
2022-04-12,440.01,437.71,447.66,436.94,17615.0
2022-04-13,437.71,453.02,453.78,432.36,19205.0
2022-04-17,455.31,434.04,455.31,433.88,33719.0
2022-04-18,434.04,420.88,440.01,420.88,17393.0
2022-04-19,420.88,420.11,433.12,413.99,10862.0
2022-04-20,413.22,405.57,423.17,404.04,16860.0
2022-04-21,397.92,407.94,413.22,391.79,13030.0
2022-04-24,407.87,435.41,440.01,407.87,19968.0
2022-04-25,440.01,423.17,440.01,419.96,30096.0
2022-04-26,414.75,418.58,431.59,409.47,7800.0
2022-04-27,412.45,430.06,432.36,412.45,27402.0
2022-04-28,424.7,426.16,443.83,424.7,24675.0
2022-05-02,417.66,399.45,424.7,398.76,20430.0
2022-05-04,391.88,391.03,405.57,390.26,20203.0
2022-05-05,386.44,387.97,399.45,384.14,16838.0
2022-05-08,386.52,413.22,413.22,384.14,11497.0
2022-05-09,413.22,405.57,419.26,401.74,22692.0
2022-05-10,413.6,423.09,428.53,405.57,31755.0
2022-05-11,414.83,441.54,443.83,414.83,38507.0
2022-05-12,449.95,428.53,449.95,420.88,25258.0
2022-05-17,419.96,404.04,425.39,404.04,14159.0
2022-05-18,397.16,413.22,424.7,394.09,15437.0
2022-05-19,404.96,408.71,429.83,404.96,12079.0
2022-05-20,401.74,411.0,420.72,401.74,10827.0
2022-05-23,410.93,399.75,410.93,397.54,23700.0
2022-05-24,393.4,407.1,411.69,393.4,9659.0
2022-05-25,407.18,405.73,413.22,401.74,7417.0
2022-05-26,403.36,401.74,410.39,400.36,16506.0
2022-05-27,397.99,404.04,405.64,397.99,10194.0
2022-05-30,404.04,397.92,411.69,394.86,8374.0
2022-05-31,390.26,394.79,404.8,388.74,14851.0
2022-06-01,394.09,394.02,400.98,391.11,8769.0
2022-06-02,389.5,394.09,397.92,389.5,12056.0
2022-06-03,389.5,394.09,394.09,387.21,8865.0
2022-06-06,386.44,391.18,400.83,386.44,7546.0
2022-06-07,385.14,384.07,391.79,382.69,12724.0
2022-06-08,382.61,396.39,398.69,377.33,13812.0
2022-06-09,393.33,382.61,400.75,382.61,18034.0
2022-06-10,382.61,382.61,390.26,382.61,19203.0
2022-06-13,383.38,382.61,388.66,377.26,8877.0
2022-06-14,377.26,364.25,377.64,363.48,27671.0
2022-06-15,360.42,354.3,360.42,349.71,14752.0
2022-06-16,347.26,348.26,362.64,340.68,14587.0
2022-06-17,344.36,350.47,358.05,344.36,3683.0
2022-06-19,343.51,339.0,351.24,336.7,8801.0
2022-06-20,332.26,319.1,339.76,318.34,24343.0
2022-06-21,313.74,332.8,333.64,313.74,9096.0
2022-06-22,326.29,321.47,332.72,321.17,5325.0
2022-06-23,317.57,300.74,317.57,289.33,35568.0
2022-06-24,294.77,308.39,319.79,288.88,19957.0
2022-06-26,314.51,332.88,335.63,313.74,24252.0
2022-06-27,339.53,320.63,340.53,318.34,24566.0
2022-06-28,314.28,313.74,316.8,309.92,9438.0
2022-06-29,320.02,332.8,333.64,309.92,18030.0
2022-06-30,339.38,352.77,352.77,335.17,25142.0
2022-07-01,359.74,359.66,362.03,342.82,14412.0
2022-07-03,359.66,379.55,382.61,352.01,30995.0
2022-07-04,387.05,372.67,398.07,367.31,58479.0
2022-07-05,379.93,359.66,381.08,357.36,31770.0
2022-07-06,352.77,373.81,376.5,346.64,15209.0
2022-07-07,371.13,366.17,385.68,362.03,23028.0
2022-07-08,373.36,357.36,373.36,355.07,7586.0
2022-07-11,354.3,333.64,357.36,333.64,21178.0
2022-07-12,333.64,337.46,346.5,327.52,18519.0
2022-07-13,331.5,354.3,358.89,331.5,13738.0
2022-07-14,355.83,359.66,362.95,345.88,15006.0
2022-07-15,355.83,352.01,359.66,350.47,10574.0
2022-07-17,352.01,352.01,355.83,345.88,7799.0
2022-07-18,355.75,359.66,359.66,348.18,6497.0
2022-07-19,359.66,367.31,374.65,357.74,19416.0
2022-07-20,360.5,374.12,380.17,360.5,15830.0
2022-07-21,367.31,369.6,382.61,367.31,13522.0
2022-07-22,367.31,359.66,370.37,353.54,10967.0
2022-07-24,366.55,384.91,388.74,353.54,43607.0
2022-07-25,390.26,410.17,417.05,387.21,64910.0
2022-07-26,416.28,402.51,417.82,394.47,68012.0
2022-07-27,397.92,404.8,409.4,389.5,49646.0
2022-07-28,411.69,406.34,419.35,397.16,50570.0
2022-07-29,402.51,403.27,407.87,400.21,17682.0
2022-07-31,404.12,401.67,409.4,400.21,33367.0
2022-08-01,401.74,400.29,415.21,393.71,43524.0
2022-08-02,401.74,405.57,411.31,394.86,20909.0
2022-08-03,408.63,412.45,416.67,403.5,31499.0
2022-08-04,404.27,401.74,412.45,397.23,44039.0
2022-08-05,394.17,406.72,410.93,394.17,42875.0
2022-08-07,401.74,431.59,436.94,398.76,108359.0
2022-08-08,440.16,421.64,440.16,413.99,61475.0
2022-08-09,415.67,406.41,420.11,405.64,55987.0
2022-08-10,398.69,414.75,428.53,398.45,36539.0
2022-08-11,423.02,408.1,423.02,407.94,20276.0
2022-08-14,399.98,401.74,419.35,399.98,31401.0
2022-08-15,394.17,413.22,417.05,394.17,28126.0
2022-08-16,417.05,398.69,417.05,397.92,21926.0
2022-08-17,398.69,405.57,410.93,397.16,16056.0
2022-08-18,404.8,411.69,420.11,402.51,41452.0
2022-08-21,419.35,408.63,419.8,405.57,41629.0
2022-08-22,413.22,404.8,415.52,403.27,17810.0
2022-08-23,398.69,409.4,413.69,398.69,13744.0
2022-08-24,408.63,406.34,417.05,403.27,18946.0
2022-08-25,404.12,399.53,411.69,399.45,18922.0
2022-08-26,394.09,397.92,405.03,394.09,17863.0
2022-08-28,390.34,379.55,405.57,378.79,47766.0
2022-08-29,373.5,377.41,380.32,373.5,16250.0
2022-08-30,374.96,380.24,388.74,374.96,18536.0
2022-08-31,374.96,372.67,382.61,371.13,19471.0
