Date,Open,Close,High,Low,Volume
2022-01-17,400.42,397.89,406.35,391.96,145739.0
2022-01-18,394.92,402.11,411.01,393.65,180428.0
2022-01-19,409.73,397.89,409.73,393.65,91842.0
2022-01-20,397.89,395.77,398.73,391.96,62906.0
2022-01-23,396.02,399.58,411.69,394.5,140926.0
2022-01-24,407.53,387.72,407.53,381.8,170021.0
2022-01-25,395.43,384.34,395.43,377.56,94791.0
2022-01-26,389.42,377.4,389.42,376.72,70434.0
2022-01-27,378.84,375.03,381.8,373.33,47091.0
2022-01-30,382.48,389.42,391.96,380.95,59776.0
2022-01-31,392.8,383.15,393.65,382.65,32745.0
2022-02-01,381.37,386.03,387.72,377.56,54695.0
2022-02-03,386.03,385.18,393.65,381.04,64627.0
2022-02-06,386.11,379.6,386.11,379.43,37059.0
2022-02-07,377.56,377.65,383.5,376.72,29428.0
2022-02-08,385.18,375.88,391.96,373.75,52555.0
2022-02-09,379.26,371.55,379.26,370.79,33765.0
2022-02-10,372.07,366.56,375.03,364.95,50151.0
2022-02-13,364.87,358.1,364.87,355.55,307377.0
2022-02-14,358.1,358.94,361.49,355.55,43169.0
2022-02-15,365.71,364.02,365.71,355.55,56255.0
2022-02-16,364.02,360.55,365.3,357.59,28139.0
2022-02-17,367.41,361.49,367.41,358.51,21757.0
2022-02-20,356.49,354.7,358.94,352.17,46557.0
2022-02-21,354.7,358.86,359.79,352.17,65224.0
2022-02-22,359.79,361.73,362.32,358.27,47200.0
2022-02-23,359.79,358.94,363.17,356.4,33703.0
2022-02-24,358.94,351.74,358.94,350.48,34467.0
2022-02-27,353.02,348.36,353.02,347.17,52154.0
2022-02-28,342.01,345.4,355.55,342.01,64396.0
2022-03-02,338.63,338.63,345.4,336.09,69730.0
2022-03-06,331.85,339.13,344.55,331.85,62111.0
2022-03-07,332.36,338.63,342.86,332.36,56020.0
2022-03-09,339.47,334.39,342.01,334.39,33024.0
2022-03-10,335.24,338.63,338.63,333.54,39386.0
2022-03-13,345.4,347.09,351.32,340.31,88147.0
2022-03-14,353.87,348.78,353.87,343.96,23030.0
2022-03-15,351.32,345.4,351.32,344.38,48889.0
2022-03-16,348.78,342.01,352.0,341.16,68113.0
2022-03-20,347.09,344.3,347.09,341.16,36732.0
2022-03-21,351.15,345.4,351.15,341.16,39469.0
2022-03-22,347.09,346.25,349.63,344.38,39578.0
